Residence,Study,People,Total,Proportion,,,,,
New South Wales,New South Wales,288814,502632,0.57,,,,,
New South Wales,Victoria,13964,502632,0.03,,,,,
New South Wales,Queensland,10515,502632,0.02,,,,,
New South Wales,Western Austalia,7546,502632,0.02,,,,,
New South Wales,South Australia,9567,502632,0.02,,,,,
New South Wales,Tasmania,7229,502632,0.01,,,,,
New South Wales,Northern Territory,1599,502632,0.00,,,,,
New South Wales,Australian Capital Territory,7676,502632,0.02,,,,,
Victoria,New South Wales,20141,452757,0.04,,,,,
Victoria,Victoria,235765,452757,0.52,,,,,
Victoria,Queensland,5948,452757,0.01,,,,,
Victoria,Western Austalia,2547,452757,0.01,,,,,
Victoria,South Australia,6541,452757,0.01,,,,,
Victoria,Tasmania,3285,452757,0.01,,,,,
Victoria,Northern Territory,1449,452757,0.00,,,,,
Victoria,Australian Capital Territory,1888,452757,0.00,,,,,
Queensland,New South Wales,22146,260648,0.08,,,,,
Queensland,Victoria,8587,260648,0.03,,,,,
Queensland,Queensland,177155,260648,0.68,,,,,
Queensland,Western Austalia,2156,260648,0.01,,,,,
Queensland,South Australia,5303,260648,0.02,,,,,
Queensland,Tasmania,3697,260648,0.01,,,,,
Queensland,Northern Territory,1005,260648,0.00,,,,,
Queensland,Australian Capital Territory,1581,260648,0.01,,,,,
Western Austalia,New South Wales,5863,148143,0.04,,,,,
Western Austalia,Victoria,4125,148143,0.03,,,,,
Western Austalia,Queensland,3241,148143,0.02,,,,,
Western Austalia,Western Austalia,94785,148143,0.64,,,,,
Western Austalia,South Australia,1947,148143,0.01,,,,,
Western Austalia,Tasmania,1083,148143,0.01,,,,,
Western Austalia,Northern Territory,1092,148143,0.01,,,,,
Western Austalia,Australian Capital Territory,543,148143,0.00,,,,,
South Australia,New South Wales,3856,124833,0.03,,,,,
South Australia,Victoria,3030,124833,0.02,,,,,
South Australia,Queensland,2073,124833,0.02,,,,,
South Australia,Western Austalia,851,124833,0.01,,,,,
South Australia,South Australia,64462,124833,0.52,,,,,
South Australia,Tasmania,964,124833,0.01,,,,,
South Australia,Northern Territory,1520,124833,0.01,,,,,
South Australia,Australian Capital Territory,367,124833,0.00,,,,,
Tasmania,New South Wales,1603,41901,0.04,,,,,
Tasmania,Victoria,1916,41901,0.05,,,,,
Tasmania,Queensland,718,41901,0.02,,,,,
Tasmania,Western Austalia,212,41901,0.01,,,,,
Tasmania,South Australia,465,41901,0.01,,,,,
Tasmania,Tasmania,16880,41901,0.40,,,,,
Tasmania,Northern Territory,178,41901,0.00,,,,,
Tasmania,Australian Capital Territory,169,41901,0.00,,,,,
Northern Territory,New South Wales,1113,13787,0.08,,,,,
Northern Territory,Victoria,930,13787,0.07,,,,,
Northern Territory,Queensland,875,13787,0.06,,,,,
Northern Territory,Western Austalia,215,13787,0.02,,,,,
Northern Territory,South Australia,837,13787,0.06,,,,,
Northern Territory,Tasmania,261,13787,0.02,,,,,
Northern Territory,Northern Territory,4448,13787,0.32,,,,,
Northern Territory,Australian Capital Territory,130,13787,0.01,,,,,
Australian Capital Territory,New South Wales,5922,42613,0.14,,,,,
Australian Capital Territory,Victoria,1866,42613,0.04,,,,,
Australian Capital Territory,Queensland,1009,42613,0.02,,,,,
Australian Capital Territory,Western Austalia,370,42613,0.01,,,,,
Australian Capital Territory,South Australia,528,42613,0.01,,,,,
Australian Capital Territory,Tasmania,413,42613,0.01,,,,,
Australian Capital Territory,Northern Territory,179,42613,0.00,,,,,
Australian Capital Territory,Australian Capital Territory,17007,42613,0.40,,,,,