Home,Study,People
Northern Territory,Australian Capital Territory,130
Tasmania,Australian Capital Territory,169
Tasmania,Northern Territory,178
Australian Capital Territory,Northern Territory,179
Tasmania,Western Australia,212
Northern Territory,Western Australia,215
Northern Territory,Tasmania,261
South Australia,Australian Capital Territory,367
Australian Capital Territory,Western Australia,370
Australian Capital Territory,Tasmania,413
Tasmania,South Australia,465
Australian Capital Territory,South Australia,528
Western Australia,Australian Capital Territory,543
Tasmania,Queensland,718
Northern Territory,South Australia,837
South Australia,Western Australia,851
Northern Territory,Queensland,875
Northern Territory,Victoria,930
South Australia,Tasmania,964
Queensland,Northern Territory,1005
Australian Capital Territory,Queensland,1009
Western Australia,Tasmania,1083
Western Australia,Northern Territory,1092
Northern Territory,New South Wales,1113
Victoria,Northern Territory,1449
South Australia,Northern Territory,1520
Queensland,Australian Capital Territory,1581
New South Wales,Northern Territory,1599
Tasmania,New South Wales,1603
Australian Capital Territory,Victoria,1866
Victoria,Australian Capital Territory,1888
Tasmania,Victoria,1916
Western Australia,South Australia,1947
South Australia,Queensland,2073
Queensland,Western Australia,2156
Victoria,Western Australia,2547
South Australia,Victoria,3030
Western Australia,Queensland,3241
Victoria,Tasmania,3285
Queensland,Tasmania,3697
South Australia,New South Wales,3856
Western Australia,Victoria,4125
Northern Territory,Northern Territory,4448
Queensland,South Australia,5303
Western Australia,New South Wales,5863
Australian Capital Territory,New South Wales,5922
Victoria,Queensland,5948
Victoria,South Australia,6541
New South Wales,Tasmania,7229
New South Wales,Western Australia,7546
New South Wales,Australian Capital Territory,7676
Queensland,Victoria,8587
New South Wales,South Australia,9567
New South Wales,Queensland,10515
New South Wales,Victoria,13964
Tasmania,Tasmania,16880
Australian Capital Territory,Australian Capital Territory,17007
Victoria,New South Wales,20141
Queensland,New South Wales,22146
South Australia,South Australia,64462
Western Australia,Western Australia,94785
Queensland,Queensland,177155
Victoria,Victoria,235765
New South Wales,New South Wales,288814